period,16+ Population,16+ Total Activity Level,16+ Employment Level,16+ Unemployment Level,16+ Economically Inactive Level,16+ Economic Activity Rate,16+ Employment Rate,16+ Unemployment Rate,16+ Economic Inactivity Rate,16-64 Population,16-64 Total Activity Level,16-64 Employment Level,16-64 Unemployment Level,16-64 Economically Inactive Level,16-64 Economic Activity Rate,16-64 Employment Rate,16-64 Unemployment Rate,16-64 Economic Inactivity Rate
Jun-Aug 1973,40939000.0,25908000.0,24965000.0,943000.0,15030000.0,63.3,61.0,3.6,36.7,33663000.0,25478000.0,24548000.0,931000.0,8185000.0,75.7,72.9,3.7,24.3
Jul-Sep 1973,40952000.0,25899000.0,24972000.0,927000.0,15053000.0,63.2,61.0,3.6,36.8,33666000.0,25468000.0,24554000.0,914000.0,8198000.0,75.6,72.9,3.6,24.4
Aug-Oct 1973,40965000.0,25898000.0,24984000.0,913000.0,15067000.0,63.2,61.0,3.5,36.8,33668000.0,25461000.0,24561000.0,900000.0,8207000.0,75.6,72.9,3.5,24.4
Sep-Nov 1973,40978000.0,25898000.0,24997000.0,901000.0,15080000.0,63.2,61.0,3.5,36.8,33670000.0,25461000.0,24573000.0,888000.0,8209000.0,75.6,73.0,3.5,24.4
Oct-Dec 1973,40991000.0,25887000.0,24999000.0,888000.0,15104000.0,63.2,61.0,3.4,36.8,33673000.0,25455000.0,24580000.0,875000.0,8218000.0,75.6,73.0,3.4,24.4
Nov-Jan 1974,41004000.0,25891000.0,25000000.0,892000.0,15113000.0,63.1,61.0,3.4,36.9,33675000.0,25453000.0,24575000.0,879000.0,8222000.0,75.6,73.0,3.5,24.4
Dec-Feb 1974,41018000.0,25899000.0,24995000.0,904000.0,15119000.0,63.1,60.9,3.5,36.9,33677000.0,25460000.0,24569000.0,891000.0,8217000.0,75.6,73.0,3.5,24.4
Jan-Mar 1974,41031000.0,25908000.0,24984000.0,923000.0,15123000.0,63.1,60.9,3.6,36.9,33680000.0,25474000.0,24563000.0,910000.0,8206000.0,75.6,72.9,3.6,24.4
Feb-Apr 1974,41044000.0,25916000.0,24984000.0,931000.0,15128000.0,63.1,60.9,3.6,36.9,33682000.0,25481000.0,24563000.0,918000.0,8201000.0,75.7,72.9,3.6,24.3
Mar-May 1974,41057000.0,25919000.0,24985000.0,933000.0,15138000.0,63.1,60.9,3.6,36.9,33684000.0,25484000.0,24564000.0,920000.0,8200000.0,75.7,72.9,3.6,24.3
