period,16+ Population,16+ Total Activity Level,16+ Employment Level,16+ Unemployment Level,16+ Economically Inactive Level,16+ Economic Activity Rate,16+ Employment Rate,16+ Unemployment Rate,16+ Economic Inactivity Rate,16-64 Population,16-64 Total Activity Level,16-64 Employment Level,16-64 Unemployment Level,16-64 Economically Inactive Level,16-64 Economic Activity Rate,16-64 Employment Rate,16-64 Unemployment Rate,16-64 Economic Inactivity Rate
Jul-Sep 1981,43084000.0,27039000.0,24355000.0,2684000.0,16045000.0,62.8,56.5,9.9,37.2,34953000.0,26513000.0,23842000.0,2671000.0,8439000.0,75.9,68.2,10.1,24.1
Aug-Oct 1981,43100000.0,27024000.0,24311000.0,2713000.0,16076000.0,62.7,56.4,10.0,37.3,34969000.0,26497000.0,23798000.0,2699000.0,8472000.0,75.8,68.1,10.2,24.2
Sep-Nov 1981,43115000.0,27001000.0,24261000.0,2740000.0,16114000.0,62.6,56.3,10.1,37.4,34986000.0,26484000.0,23758000.0,2726000.0,8501000.0,75.7,67.9,10.3,24.3
Oct-Dec 1981,43130000.0,26970000.0,24209000.0,2761000.0,16160000.0,62.5,56.1,10.2,37.5,35002000.0,26460000.0,23713000.0,2747000.0,8542000.0,75.6,67.7,10.4,24.4
Nov-Jan 1982,43146000.0,26949000.0,24169000.0,2780000.0,16197000.0,62.5,56.0,10.3,37.5,35019000.0,26438000.0,23672000.0,2766000.0,8581000.0,75.5,67.6,10.5,24.5
Dec-Feb 1982,43161000.0,26931000.0,24139000.0,2792000.0,16230000.0,62.4,55.9,10.4,37.6,35036000.0,26421000.0,23642000.0,2778000.0,8615000.0,75.4,67.5,10.5,24.6
Jan-Mar 1982,43176000.0,26923000.0,24120000.0,2803000.0,16254000.0,62.4,55.9,10.4,37.6,35052000.0,26413000.0,23624000.0,2789000.0,8639000.0,75.4,67.4,10.6,24.6
Feb-Apr 1982,43192000.0,26905000.0,24092000.0,2813000.0,16287000.0,62.3,55.8,10.5,37.7,35069000.0,26399000.0,23600000.0,2799000.0,8669000.0,75.3,67.3,10.6,24.7
Mar-May 1982,43207000.0,26892000.0,24067000.0,2824000.0,16315000.0,62.2,55.7,10.5,37.8,35085000.0,26391000.0,23581000.0,2810000.0,8694000.0,75.2,67.2,10.6,24.8
Apr-Jun 1982,43222000.0,26868000.0,24027000.0,2841000.0,16354000.0,62.2,55.6,10.6,37.8,35102000.0,26373000.0,23546000.0,2826000.0,8729000.0,75.1,67.1,10.7,24.9
May-Jul 1982,43238000.0,26848000.0,23992000.0,2857000.0,16389000.0,62.1,55.5,10.6,37.9,35118000.0,26354000.0,23510000.0,2843000.0,8765000.0,75.0,66.9,10.8,25.0
Jun-Aug 1982,43253000.0,26826000.0,23949000.0,2877000.0,16427000.0,62.0,55.4,10.7,38.0,35136000.0,26332000.0,23468000.0,2863000.0,8804000.0,74.9,66.8,10.9,25.1
Jul-Sep 1982,43274000.0,26797000.0,23901000.0,2897000.0,16476000.0,61.9,55.2,10.8,38.1,35162000.0,26313000.0,23430000.0,2883000.0,8849000.0,74.8,66.6,11.0,25.2
Aug-Oct 1982,43295000.0,26769000.0,23852000.0,2917000.0,16526000.0,61.8,55.1,10.9,38.2,35188000.0,26289000.0,23386000.0,2903000.0,8899000.0,74.7,66.5,11.0,25.3
Sep-Nov 1982,43316000.0,26741000.0,23803000.0,2938000.0,16575000.0,61.7,55.0,11.0,38.3,35214000.0,26262000.0,23338000.0,2925000.0,8952000.0,74.6,66.3,11.1,25.4
Oct-Dec 1982,43337000.0,26714000.0,23755000.0,2960000.0,16622000.0,61.6,54.8,11.1,38.4,35240000.0,26240000.0,23294000.0,2946000.0,9000000.0,74.5,66.1,11.2,25.5
Nov-Jan 1983,43357000.0,26688000.0,23712000.0,2976000.0,16670000.0,61.6,54.7,11.2,38.4,35266000.0,26219000.0,23256000.0,2963000.0,9047000.0,74.3,65.9,11.3,25.7
Dec-Feb 1983,43378000.0,26663000.0,23675000.0,2988000.0,16715000.0,61.5,54.6,11.2,38.5,35292000.0,26200000.0,23225000.0,2975000.0,9092000.0,74.2,65.8,11.4,25.8
Jan-Mar 1983,43399000.0,26649000.0,23651000.0,2998000.0,16750000.0,61.4,54.5,11.3,38.6,35318000.0,26191000.0,23206000.0,2985000.0,9128000.0,74.2,65.7,11.4,25.8
Feb-Apr 1983,43420000.0,26644000.0,23636000.0,3008000.0,16776000.0,61.4,54.4,11.3,38.6,35344000.0,26185000.0,23190000.0,2996000.0,9159000.0,74.1,65.6,11.4,25.9
Mar-May 1983,43441000.0,26653000.0,23630000.0,3023000.0,16788000.0,61.4,54.4,11.3,38.6,35371000.0,26197000.0,23187000.0,3010000.0,9174000.0,74.1,65.6,11.5,25.9
Apr-Jun 1983,43462000.0,26696000.0,23647000.0,3049000.0,16765000.0,61.4,54.4,11.4,38.6,35397000.0,26246000.0,23212000.0,3035000.0,9150000.0,74.1,65.6,11.6,25.9
May-Jul 1983,43483000.0,26762000.0,23687000.0,3074000.0,16721000.0,61.5,54.5,11.5,38.5,35423000.0,26302000.0,23243000.0,3059000.0,9121000.0,74.3,65.6,11.6,25.7
Jun-Aug 1983,43504000.0,26834000.0,23741000.0,3093000.0,16670000.0,61.7,54.6,11.5,38.3,35448000.0,26383000.0,23307000.0,3077000.0,9065000.0,74.4,65.7,11.7,25.6
Jul-Sep 1983,43527000.0,26918000.0,23809000.0,3109000.0,16608000.0,61.8,54.7,11.5,38.2,35474000.0,26467000.0,23376000.0,3091000.0,9007000.0,74.6,65.9,11.7,25.4
Aug-Oct 1983,43549000.0,27004000.0,23879000.0,3125000.0,16545000.0,62.0,54.8,11.6,38.0,35500000.0,26551000.0,23446000.0,3106000.0,8948000.0,74.8,66.0,11.7,25.2
Sep-Nov 1983,43572000.0,27094000.0,23947000.0,3146000.0,16478000.0,62.2,55.0,11.6,37.8,35526000.0,26630000.0,23505000.0,3126000.0,8895000.0,75.0,66.2,11.7,25.0
Oct-Dec 1983,43595000.0,27161000.0,23994000.0,3167000.0,16434000.0,62.3,55.0,11.7,37.7,35552000.0,26702000.0,23558000.0,3145000.0,8849000.0,75.1,66.3,11.8,24.9
Nov-Jan 1984,43618000.0,27234000.0,24044000.0,3189000.0,16384000.0,62.4,55.1,11.7,37.6,35578000.0,26774000.0,23608000.0,3165000.0,8804000.0,75.3,66.4,11.8,24.7
Dec-Feb 1984,43641000.0,27300000.0,24085000.0,3215000.0,16340000.0,62.6,55.2,11.8,37.4,35604000.0,26842000.0,23652000.0,3190000.0,8762000.0,75.4,66.4,11.9,24.6
Jan-Mar 1984,43664000.0,27368000.0,24125000.0,3243000.0,16296000.0,62.7,55.3,11.8,37.3,35630000.0,26909000.0,23693000.0,3216000.0,8721000.0,75.5,66.5,12.0,24.5
Feb-Apr 1984,43687000.0,27428000.0,24165000.0,3263000.0,16258000.0,62.8,55.3,11.9,37.2,35656000.0,26969000.0,23734000.0,3235000.0,8686000.0,75.6,66.6,12.0,24.4
Mar-May 1984,43709000.0,27485000.0,24208000.0,3278000.0,16224000.0,62.9,55.4,11.9,37.1,35682000.0,27025000.0,23777000.0,3248000.0,8656000.0,75.7,66.6,12.0,24.3
Apr-Jun 1984,43732000.0,27510000.0,24245000.0,3265000.0,16222000.0,62.9,55.4,11.9,37.1,35708000.0,27050000.0,23815000.0,3235000.0,8657000.0,75.8,66.7,12.0,24.2
May-Jul 1984,43755000.0,27530000.0,24275000.0,3256000.0,16225000.0,62.9,55.5,11.8,37.1,35734000.0,27074000.0,23849000.0,3225000.0,8659000.0,75.8,66.7,11.9,24.2
Jun-Aug 1984,43778000.0,27547000.0,24305000.0,3242000.0,16231000.0,62.9,55.5,11.8,37.1,35750000.0,27088000.0,23875000.0,3213000.0,8661000.0,75.8,66.8,11.9,24.2
Jul-Sep 1984,43801000.0,27573000.0,24335000.0,3238000.0,16228000.0,63.0,55.6,11.7,37.0,35759000.0,27110000.0,23901000.0,3209000.0,8649000.0,75.8,66.8,11.8,24.2
Aug-Oct 1984,43824000.0,27603000.0,24370000.0,3233000.0,16220000.0,63.0,55.6,11.7,37.0,35768000.0,27142000.0,23939000.0,3203000.0,8626000.0,75.9,66.9,11.8,24.1
Sep-Nov 1984,43846000.0,27629000.0,24400000.0,3229000.0,16218000.0,63.0,55.6,11.7,37.0,35777000.0,27170000.0,23972000.0,3198000.0,8606000.0,75.9,67.0,11.8,24.1
Oct-Dec 1984,43869000.0,27652000.0,24435000.0,3217000.0,16217000.0,63.0,55.7,11.6,37.0,35786000.0,27194000.0,24007000.0,3187000.0,8592000.0,76.0,67.1,11.7,24.0
Nov-Jan 1985,43892000.0,27676000.0,24470000.0,3206000.0,16216000.0,63.1,55.8,11.6,36.9,35795000.0,27206000.0,24031000.0,3175000.0,8588000.0,76.0,67.1,11.7,24.0
Dec-Feb 1985,43915000.0,27685000.0,24490000.0,3195000.0,16230000.0,63.0,55.8,11.5,37.0,35804000.0,27223000.0,24058000.0,3165000.0,8581000.0,76.0,67.2,11.6,24.0
Jan-Mar 1985,43937000.0,27695000.0,24515000.0,3180000.0,16243000.0,63.0,55.8,11.5,37.0,35813000.0,27234000.0,24084000.0,3150000.0,8578000.0,76.0,67.3,11.6,24.0
Feb-Apr 1985,43960000.0,27709000.0,24540000.0,3169000.0,16251000.0,63.0,55.8,11.4,37.0,35822000.0,27249000.0,24111000.0,3139000.0,8572000.0,76.1,67.3,11.5,23.9
Mar-May 1985,43983000.0,27710000.0,24554000.0,3156000.0,16273000.0,63.0,55.8,11.4,37.0,35831000.0,27250000.0,24125000.0,3125000.0,8581000.0,76.1,67.3,11.5,23.9
Apr-Jun 1985,44006000.0,27722000.0,24570000.0,3152000.0,16284000.0,63.0,55.8,11.4,37.0,35840000.0,27268000.0,24147000.0,3121000.0,8572000.0,76.1,67.4,11.4,23.9
May-Jul 1985,44029000.0,27735000.0,24590000.0,3145000.0,16294000.0,63.0,55.8,11.3,37.0,35849000.0,27276000.0,24162000.0,3115000.0,8572000.0,76.1,67.4,11.4,23.9
Jun-Aug 1985,44051000.0,27749000.0,24610000.0,3139000.0,16302000.0,63.0,55.9,11.3,37.0,35859000.0,27291000.0,24182000.0,3109000.0,8568000.0,76.1,67.4,11.4,23.9
Jul-Sep 1985,44069000.0,27762000.0,24625000.0,3137000.0,16307000.0,63.0,55.9,11.3,37.0,35867000.0,27309000.0,24201000.0,3107000.0,8558000.0,76.1,67.5,11.4,23.9
Aug-Oct 1985,44087000.0,27770000.0,24635000.0,3135000.0,16317000.0,63.0,55.9,11.3,37.0,35875000.0,27327000.0,24221000.0,3106000.0,8549000.0,76.2,67.5,11.4,23.8
Sep-Nov 1985,44104000.0,27783000.0,24650000.0,3133000.0,16321000.0,63.0,55.9,11.3,37.0,35883000.0,27340000.0,24235000.0,3105000.0,8544000.0,76.2,67.5,11.4,23.8
Oct-Dec 1985,44122000.0,27795000.0,24660000.0,3135000.0,16328000.0,63.0,55.9,11.3,37.0,35891000.0,27348000.0,24242000.0,3106000.0,8543000.0,76.2,67.5,11.4,23.8
Nov-Jan 1986,44140000.0,27798000.0,24660000.0,3138000.0,16342000.0,63.0,55.9,11.3,37.0,35899000.0,27357000.0,24247000.0,3109000.0,8543000.0,76.2,67.5,11.4,23.8
Dec-Feb 1986,44158000.0,27813000.0,24670000.0,3143000.0,16345000.0,63.0,55.9,11.3,37.0,35908000.0,27372000.0,24257000.0,3114000.0,8536000.0,76.2,67.6,11.4,23.8
Jan-Mar 1986,44175000.0,27820000.0,24670000.0,3150000.0,16356000.0,63.0,55.8,11.3,37.0,35916000.0,27385000.0,24262000.0,3123000.0,8531000.0,76.2,67.6,11.4,23.8
Feb-Apr 1986,44193000.0,27826000.0,24675000.0,3151000.0,16367000.0,63.0,55.8,11.3,37.0,35924000.0,27396000.0,24272000.0,3124000.0,8528000.0,76.3,67.6,11.4,23.7
Mar-May 1986,44211000.0,27837000.0,24683000.0,3154000.0,16373000.0,63.0,55.8,11.3,37.0,35932000.0,27408000.0,24280000.0,3128000.0,8523000.0,76.3,67.6,11.4,23.7
Apr-Jun 1986,44228000.0,27853000.0,24695000.0,3159000.0,16375000.0,63.0,55.8,11.3,37.0,35940000.0,27423000.0,24291000.0,3132000.0,8517000.0,76.3,67.6,11.4,23.7
May-Jul 1986,44246000.0,27888000.0,24720000.0,3168000.0,16358000.0,63.0,55.9,11.4,37.0,35948000.0,27453000.0,24310000.0,3143000.0,8495000.0,76.4,67.6,11.4,23.6
Jun-Aug 1986,44264000.0,27915000.0,24740000.0,3175000.0,16348000.0,63.1,55.9,11.4,36.9,35957000.0,27489000.0,24340000.0,3150000.0,8467000.0,76.5,67.7,11.5,23.5
Jul-Sep 1986,44282000.0,27947000.0,24770000.0,3177000.0,16335000.0,63.1,55.9,11.4,36.9,35967000.0,27520000.0,24369000.0,3151000.0,8446000.0,76.5,67.8,11.5,23.5
Aug-Oct 1986,44299000.0,27971000.0,24800000.0,3171000.0,16328000.0,63.1,56.0,11.3,36.9,35977000.0,27535000.0,24388000.0,3147000.0,8441000.0,76.5,67.8,11.4,23.5
Sep-Nov 1986,44317000.0,27995000.0,24830000.0,3165000.0,16323000.0,63.2,56.0,11.3,36.8,35986000.0,27564000.0,24423000.0,3141000.0,8423000.0,76.6,67.9,11.4,23.4
Oct-Dec 1986,44335000.0,28006000.0,24850000.0,3156000.0,16330000.0,63.2,56.1,11.3,36.8,35996000.0,27580000.0,24447000.0,3133000.0,8416000.0,76.6,67.9,11.4,23.4
Nov-Jan 1987,44353000.0,28025000.0,24875000.0,3150000.0,16328000.0,63.2,56.1,11.2,36.8,36006000.0,27599000.0,24472000.0,3127000.0,8407000.0,76.7,68.0,11.3,23.3
Dec-Feb 1987,44371000.0,28034000.0,24900000.0,3134000.0,16337000.0,63.2,56.1,11.2,36.8,36016000.0,27607000.0,24496000.0,3111000.0,8409000.0,76.7,68.0,11.3,23.3
Jan-Mar 1987,44389000.0,28038000.0,24925000.0,3113000.0,16351000.0,63.2,56.2,11.1,36.8,36026000.0,27607000.0,24516000.0,3091000.0,8419000.0,76.6,68.1,11.2,23.4
Feb-Apr 1987,44407000.0,28060000.0,24970000.0,3090000.0,16347000.0,63.2,56.2,11.0,36.8,36036000.0,27629000.0,24560000.0,3069000.0,8407000.0,76.7,68.2,11.1,23.3
Mar-May 1987,44425000.0,28092000.0,25031000.0,3061000.0,16333000.0,63.2,56.3,10.9,36.8,36046000.0,27662000.0,24622000.0,3040000.0,8384000.0,76.7,68.3,11.0,23.3
Apr-Jun 1987,44443000.0,28131000.0,25110000.0,3021000.0,16312000.0,63.3,56.5,10.7,36.7,36056000.0,27696000.0,24695000.0,3001000.0,8360000.0,76.8,68.5,10.8,23.2
May-Jul 1987,44461000.0,28163000.0,25190000.0,2973000.0,16298000.0,63.3,56.7,10.6,36.7,36066000.0,27732000.0,24780000.0,2952000.0,8334000.0,76.9,68.7,10.6,23.1
Jun-Aug 1987,44479000.0,28199000.0,25270000.0,2929000.0,16279000.0,63.4,56.8,10.4,36.6,36077000.0,27764000.0,24855000.0,2909000.0,8312000.0,77.0,68.9,10.5,23.0
Jul-Sep 1987,44491000.0,28230000.0,25345000.0,2885000.0,16261000.0,63.5,57.0,10.2,36.5,36084000.0,27801000.0,24936000.0,2865000.0,8283000.0,77.0,69.1,10.3,23.0
Aug-Oct 1987,44504000.0,28258000.0,25420000.0,2838000.0,16245000.0,63.5,57.1,10.0,36.5,36091000.0,27824000.0,25006000.0,2818000.0,8267000.0,77.1,69.3,10.1,22.9
Sep-Nov 1987,44516000.0,28283000.0,25495000.0,2788000.0,16233000.0,63.5,57.3,9.9,36.5,36099000.0,27848000.0,25081000.0,2767000.0,8250000.0,77.1,69.5,9.9,22.9
Oct-Dec 1987,44528000.0,28316000.0,25575000.0,2741000.0,16212000.0,63.6,57.4,9.7,36.4,36106000.0,27876000.0,25157000.0,2720000.0,8230000.0,77.2,69.7,9.8,22.8
Nov-Jan 1988,44541000.0,28352000.0,25655000.0,2697000.0,16189000.0,63.7,57.6,9.5,36.3,36114000.0,27908000.0,25232000.0,2676000.0,8205000.0,77.3,69.9,9.6,22.7
Dec-Feb 1988,44553000.0,28387000.0,25730000.0,2657000.0,16166000.0,63.7,57.8,9.4,36.3,36121000.0,27939000.0,25302000.0,2637000.0,8182000.0,77.3,70.0,9.4,22.7
Jan-Mar 1988,44565000.0,28407000.0,25795000.0,2613000.0,16158000.0,63.7,57.9,9.2,36.3,36128000.0,27960000.0,25368000.0,2592000.0,8169000.0,77.4,70.2,9.3,22.6
Feb-Apr 1988,44578000.0,28429000.0,25860000.0,2569000.0,16149000.0,63.8,58.0,9.0,36.2,36136000.0,27977000.0,25428000.0,2549000.0,8159000.0,77.4,70.4,9.1,22.6
Mar-May 1988,44590000.0,28439000.0,25913000.0,2526000.0,16152000.0,63.8,58.1,8.9,36.2,36143000.0,27990000.0,25484000.0,2505000.0,8153000.0,77.4,70.5,9.0,22.6
Apr-Jun 1988,44603000.0,28460000.0,25970000.0,2490000.0,16143000.0,63.8,58.2,8.7,36.2,36150000.0,28011000.0,25541000.0,2469000.0,8140000.0,77.5,70.7,8.8,22.5
May-Jul 1988,44615000.0,28482000.0,26030000.0,2452000.0,16133000.0,63.8,58.3,8.6,36.2,36158000.0,28024000.0,25595000.0,2429000.0,8134000.0,77.5,70.8,8.7,22.5
Jun-Aug 1988,44627000.0,28516000.0,26100000.0,2416000.0,16112000.0,63.9,58.5,8.5,36.1,36166000.0,28045000.0,25653000.0,2392000.0,8121000.0,77.5,70.9,8.5,22.5
Jul-Sep 1988,44640000.0,28545000.0,26160000.0,2385000.0,16094000.0,63.9,58.6,8.4,36.1,36173000.0,28083000.0,25722000.0,2361000.0,8090000.0,77.6,71.1,8.4,22.4
Aug-Oct 1988,44652000.0,28591000.0,26230000.0,2361000.0,16061000.0,64.0,58.7,8.3,36.0,36180000.0,28116000.0,25780000.0,2336000.0,8065000.0,77.7,71.3,8.3,22.3
Sep-Nov 1988,44664000.0,28623000.0,26290000.0,2333000.0,16041000.0,64.1,58.9,8.2,35.9,36187000.0,28145000.0,25838000.0,2307000.0,8042000.0,77.8,71.4,8.2,22.2
Oct-Dec 1988,44676000.0,28648000.0,26355000.0,2293000.0,16028000.0,64.1,59.0,8.0,35.9,36194000.0,28163000.0,25897000.0,2267000.0,8031000.0,77.8,71.5,8.0,22.2
Nov-Jan 1989,44688000.0,28683000.0,26430000.0,2253000.0,16005000.0,64.2,59.1,7.9,35.8,36201000.0,28190000.0,25965000.0,2225000.0,8011000.0,77.9,71.7,7.9,22.1
Dec-Feb 1989,44701000.0,28723000.0,26510000.0,2213000.0,15977000.0,64.3,59.3,7.7,35.7,36209000.0,28224000.0,26038000.0,2185000.0,7985000.0,77.9,71.9,7.7,22.1
Jan-Mar 1989,44713000.0,28769000.0,26590000.0,2179000.0,15944000.0,64.3,59.5,7.6,35.7,36216000.0,28266000.0,26117000.0,2150000.0,7949000.0,78.0,72.1,7.6,22.0
Feb-Apr 1989,44725000.0,28800000.0,26660000.0,2140000.0,15925000.0,64.4,59.6,7.4,35.6,36223000.0,28289000.0,26180000.0,2109000.0,7933000.0,78.1,72.3,7.5,21.9
Mar-May 1989,44737000.0,28815000.0,26709000.0,2106000.0,15922000.0,64.4,59.7,7.3,35.6,36230000.0,28300000.0,26225000.0,2075000.0,7930000.0,78.1,72.4,7.3,21.9
Apr-Jun 1989,44750000.0,28813000.0,26730000.0,2083000.0,15937000.0,64.4,59.7,7.2,35.6,36237000.0,28301000.0,26248000.0,2053000.0,7936000.0,78.1,72.4,7.3,21.9
May-Jul 1989,44762000.0,28821000.0,26750000.0,2071000.0,15941000.0,64.4,59.8,7.2,35.6,36244000.0,28311000.0,26269000.0,2042000.0,7934000.0,78.1,72.5,7.2,21.9
Jun-Aug 1989,44774000.0,28832000.0,26775000.0,2057000.0,15942000.0,64.4,59.8,7.1,35.6,36252000.0,28314000.0,26284000.0,2030000.0,7938000.0,78.1,72.5,7.2,21.9
Jul-Sep 1989,44782000.0,28840000.0,26795000.0,2045000.0,15942000.0,64.4,59.8,7.1,35.6,36258000.0,28328000.0,26309000.0,2018000.0,7930000.0,78.1,72.6,7.1,21.9
Aug-Oct 1989,44790000.0,28854000.0,26820000.0,2034000.0,15935000.0,64.4,59.9,7.1,35.6,36263000.0,28343000.0,26334000.0,2009000.0,7920000.0,78.2,72.6,7.1,21.8
Sep-Nov 1989,44798000.0,28877000.0,26850000.0,2027000.0,15920000.0,64.5,59.9,7.0,35.5,36269000.0,28367000.0,26365000.0,2002000.0,7901000.0,78.2,72.7,7.1,21.8
Oct-Dec 1989,44805000.0,28901000.0,26880000.0,2021000.0,15905000.0,64.5,60.0,7.0,35.5,36274000.0,28387000.0,26390000.0,1997000.0,7887000.0,78.3,72.8,7.0,21.7
Nov-Jan 1990,44813000.0,28902000.0,26890000.0,2012000.0,15912000.0,64.5,60.0,7.0,35.5,36280000.0,28389000.0,26400000.0,1989000.0,7891000.0,78.3,72.8,7.0,21.7
Dec-Feb 1990,44821000.0,28906000.0,26900000.0,2006000.0,15915000.0,64.5,60.0,6.9,35.5,36285000.0,28395000.0,26410000.0,1985000.0,7890000.0,78.3,72.8,7.0,21.7
Jan-Mar 1990,44829000.0,28904000.0,26900000.0,2004000.0,15925000.0,64.5,60.0,6.9,35.5,36291000.0,28394000.0,26411000.0,1983000.0,7897000.0,78.2,72.8,7.0,21.8
Feb-Apr 1990,44836000.0,28914000.0,26910000.0,2004000.0,15923000.0,64.5,60.0,6.9,35.5,36297000.0,28405000.0,26421000.0,1984000.0,7892000.0,78.3,72.8,7.0,21.7
Mar-May 1990,44844000.0,28925000.0,26922000.0,2004000.0,15919000.0,64.5,60.0,6.9,35.5,36302000.0,28419000.0,26434000.0,1985000.0,7883000.0,78.3,72.8,7.0,21.7
Apr-Jun 1990,44852000.0,28937000.0,26935000.0,2002000.0,15915000.0,64.5,60.1,6.9,35.5,36308000.0,28431000.0,26447000.0,1983000.0,7877000.0,78.3,72.8,7.0,21.7
May-Jul 1990,44860000.0,28954000.0,26945000.0,2009000.0,15906000.0,64.5,60.1,6.9,35.5,36313000.0,28438000.0,26448000.0,1990000.0,7875000.0,78.3,72.8,7.0,21.7
Jun-Aug 1990,44868000.0,28954000.0,26930000.0,2024000.0,15913000.0,64.5,60.0,7.0,35.5,36319000.0,28444000.0,26439000.0,2005000.0,7874000.0,78.3,72.8,7.0,21.7
Jul-Sep 1990,44875000.0,28949000.0,26900000.0,2049000.0,15926000.0,64.5,59.9,7.1,35.5,36323000.0,28434000.0,26405000.0,2029000.0,7889000.0,78.3,72.7,7.1,21.7
Aug-Oct 1990,44883000.0,28934000.0,26855000.0,2079000.0,15949000.0,64.5,59.8,7.2,35.5,36327000.0,28420000.0,26361000.0,2059000.0,7906000.0,78.2,72.6,7.2,21.8
Sep-Nov 1990,44890000.0,28920000.0,26805000.0,2115000.0,15970000.0,64.4,59.7,7.3,35.6,36331000.0,28412000.0,26317000.0,2095000.0,7919000.0,78.2,72.4,7.4,21.8
Oct-Dec 1990,44898000.0,28908000.0,26750000.0,2158000.0,15990000.0,64.4,59.6,7.5,35.6,36335000.0,28401000.0,26263000.0,2138000.0,7934000.0,78.2,72.3,7.5,21.8
Nov-Jan 1991,44905000.0,28881000.0,26685000.0,2196000.0,16025000.0,64.3,59.4,7.6,35.7,36338000.0,28374000.0,26199000.0,2175000.0,7965000.0,78.1,72.1,7.7,21.9
Dec-Feb 1991,44913000.0,28859000.0,26615000.0,2244000.0,16053000.0,64.3,59.3,7.8,35.7,36342000.0,28359000.0,26135000.0,2224000.0,7984000.0,78.0,71.9,7.8,22.0
Jan-Mar 1991,44920000.0,28836000.0,26530000.0,2306000.0,16085000.0,64.2,59.1,8.0,35.8,36346000.0,28341000.0,26056000.0,2285000.0,8005000.0,78.0,71.7,8.1,22.0
Feb-Apr 1991,44928000.0,28828000.0,26450000.0,2378000.0,16100000.0,64.2,58.9,8.2,35.8,36350000.0,28334000.0,25977000.0,2356000.0,8017000.0,77.9,71.5,8.3,22.1
Mar-May 1991,44935000.0,28807000.0,26365000.0,2442000.0,16128000.0,64.1,58.7,8.5,35.9,36354000.0,28318000.0,25897000.0,2421000.0,8036000.0,77.9,71.2,8.5,22.1
Apr-Jun 1991,44941000.0,28767000.0,26275000.0,2492000.0,16174000.0,64.0,58.5,8.7,36.0,36356000.0,28274000.0,25803000.0,2471000.0,8083000.0,77.8,71.0,8.7,22.2
May-Jul 1991,44947000.0,28730000.0,26190000.0,2540000.0,16217000.0,63.9,58.3,8.8,36.1,36358000.0,28240000.0,25723000.0,2518000.0,8118000.0,77.7,70.7,8.9,22.3
Jun-Aug 1991,44952000.0,28690000.0,26105000.0,2585000.0,16262000.0,63.8,58.1,9.0,36.2,36359000.0,28209000.0,25647000.0,2562000.0,8149000.0,77.6,70.5,9.1,22.4
Jul-Sep 1991,44958000.0,28649000.0,26025000.0,2624000.0,16309000.0,63.7,57.9,9.2,36.3,36359000.0,28173000.0,25572000.0,2601000.0,8186000.0,77.5,70.3,9.2,22.5
Aug-Oct 1991,44964000.0,28607000.0,25955000.0,2652000.0,16357000.0,63.6,57.7,9.3,36.4,36360000.0,28131000.0,25501000.0,2630000.0,8229000.0,77.4,70.1,9.3,22.6
Sep-Nov 1991,44970000.0,28560000.0,25885000.0,2675000.0,16409000.0,63.5,57.6,9.4,36.5,36361000.0,28083000.0,25430000.0,2653000.0,8278000.0,77.2,69.9,9.4,22.8
Oct-Dec 1991,44975000.0,28517000.0,25820000.0,2697000.0,16459000.0,63.4,57.4,9.5,36.6,36361000.0,28044000.0,25370000.0,2674000.0,8317000.0,77.1,69.8,9.5,22.9
Nov-Jan 1992,44981000.0,28489000.0,25775000.0,2714000.0,16492000.0,63.3,57.3,9.5,36.7,36362000.0,28006000.0,25315000.0,2691000.0,8356000.0,77.0,69.6,9.6,23.0
Dec-Feb 1992,44987000.0,28476000.0,25740000.0,2735000.0,16511000.0,63.3,57.2,9.6,36.7,36363000.0,27985000.0,25274000.0,2711000.0,8378000.0,77.0,69.5,9.7,23.0
Jan-Mar 1992,44992000.0,28472000.0,25710000.0,2762000.0,16520000.0,63.3,57.1,9.7,36.7,36363000.0,27981000.0,25243000.0,2737000.0,8383000.0,76.9,69.4,9.8,23.1
Feb-Apr 1992,44998000.0,28467000.0,25685000.0,2782000.0,16531000.0,63.3,57.1,9.8,36.7,36364000.0,27966000.0,25208000.0,2758000.0,8398000.0,76.9,69.3,9.9,23.1
Mar-May 1992,44992004.0,28431675.40138793,25635937.039723113,2795738.3616648186,16560328.59861207,63.19272953787062,56.97887348988303,9.833181907839103,36.80727046212938,36357788.0,27929433.40456035,25157591.098221622,2771842.3063387317,8428354.595439648,76.81829654917497,69.1945040721994,9.924448756938055,23.18170345082503
Apr-Jun 1992,44995845.08333333,28382788.319427688,25605420.66567693,2777367.6537507586,16613056.76390564,63.0786870806896,56.906189045355426,9.785393959513424,36.9213129193104,36358138.166666664,27877135.430344336,25121755.10712168,2755380.323222652,8481002.73632233,76.67371553118262,69.09527377876967,9.884015271610057,23.32628446881738
May-Jul 1992,44999444.16666667,28344255.93322379,25541631.02414252,2802624.9090812695,16655188.23344288,62.98801342577425,56.75988114329304,9.887805542272732,37.011986574225745,36358159.333333336,27851391.054040678,25071012.34047591,2780378.7135647647,8506768.27929266,76.60286319419473,68.95566992438664,9.982907884815999,23.397136805805275
Jun-Aug 1992,45000599.25,28341195.678697743,25525069.839521334,2816125.839176409,16659403.571302261,62.97959616326163,56.72162207822451,9.93651034029277,37.020403836738375,36356133.5,27855167.782170594,25060700.484546877,2794467.297623717,8500965.717829408,76.61751979805716,68.931148810274,10.032132347852476,23.38248020194284
